el_price,cf_wind,cf_solar
11.91,0.03382809,0.0
-2.47,0.0164694,0.0
-4.97,0.01975512,0.0
-1.71,0.02370981,0.0
0.76,0.01527488,0.0
19.94,0.0,0.0
25.78,0.0,0.0
36.05,0.0,0.00676877
32.34,0.0,0.04830779
25.06,0.0,0.08805749
22.96,0.0,0.14787988
25.47,0.0,0.08732989
5.36,0.0,0.09921248
5.02,0.0,0.08839324
20.85,0.0,0.05523989
24.76,0.01147583,0.03308307
22.46,0.016432,0.00703969
24.47,0.0,0.00129035
28.75,0.0,0.0
35.94,0.0,0.0
24.34,0.0,0.0
17.19,0.0,0.0
0.07,0.0,0.0
10.79,0.0,0.0
-1.0,0.0,0.0
-2.68,0.0,0.0
0.01,0.0,0.0
-1.96,0.0,0.0
0.06,0.0,0.0
0.03,0.0,0.0
-0.04,0.0,0.0
0.13,0.0,0.02109684
10.05,0.0,0.06884163
8.54,0.0,0.11762375
7.83,0.0,0.24367089
11.03,0.0,0.3051352
0.74,0.0,0.28032777
0.04,0.0,0.22839466
-0.08,0.0,0.16845238
-0.82,0.0,0.11274871
0.08,0.0,0.09756858
10.96,0.0,0.01189946
22.8,0.0,0.0
25.08,0.0,0.0
21.62,0.0,0.0
5.74,0.0,0.0
9.09,0.0,0.0
0.72,0.0,0.0
-23.04,0.0,0.0
-11.15,0.0,0.0
-12.55,0.01458012,0.0
-13.53,0.02025801,0.0
-6.23,0.0234694,0.0
-9.9,0.0,0.0
-11.37,0.0,0.0
-11.26,0.0,0.00167023
-9.93,0.0,0.03030894
-8.53,0.0,0.04184789
-6.66,0.0,0.06721095
-0.75,0.0,0.06774005
-7.06,0.0,0.0599472
-15.06,0.0,0.05462573
-22.96,0.0,0.04410481
-20.23,0.0,0.02258473
-10.01,0.0,0.00701865
5.33,0.0,0.00072844
28.87,0.0,0.0
36.66,0.0,0.0
24.83,0.0125772,0.0
19.92,0.01836809,0.0
24.3,0.04465191,0.0
17.22,0.07108686,0.0
-0.07,0.0760366,0.0
-0.21,0.06642844,0.0
-6.86,0.05836864,0.0
-7.0,0.05558709,0.0
-2.47,0.03630703,0.0
5.14,0.04943579,0.0
3.46,0.0298775,0.0
16.93,0.0209992,0.00085463
6.45,0.0,0.00789316
-5.26,0.0,0.01812176
-54.91,0.0,0.04140472
-62.08,0.0,0.06789777
-77.31,0.0,0.07889044
-83.01,0.0,0.08224359
-79.97,0.0,0.05056326
-68.75,0.0,0.03034211
-43.07,0.0,0.01455948
-0.39,0.0,0.00095346
15.06,0.0,0.0
17.03,0.0,0.0
