,el_price,el_price,cf_wind,cf_wind,cf_solar,cf_solar
,min,max,min,max,min,max
0,3.09868,54.056207373999996,0.03382809,0.99999996,0.0,0.0
1,0.64337,57.194281313,0.0164694,0.99999999,0.0,0.0
2,-2.626,55.408601313,0.01975512,1.0,0.0,0.0
3,-23.7653,52.40183,0.02370981,1.0,0.0,0.0
4,-3.6501399999999995,50.117207373999996,0.01527488,1.0,0.0,0.00541516
5,15.30958,65.820691313,0.0,0.99999843,0.0,0.04459616
6,25.104561312999998,80.106127374,0.0,0.99988832,0.0,0.12567786
7,37.538669999999996,89.257743939,0.0,0.99936231,0.00676877,0.25535668
8,45.574228687,94.732952626,0.0,0.99693865,0.04830779,0.38746916
9,49.762702626,85.58134000000001,0.0,0.99819587,0.08805749,0.47359031
10,52.480611313000004,88.20734,0.0,0.99674071,0.14787988,0.57419386
11,53.123978687000005,82.666478687,0.0,0.99680339,0.08732989,0.62523053
12,38.575938687,78.044718687,0.0,0.99482342,0.09921248,0.63045136
13,30.29091,77.53264868699999,0.0,0.99782096,0.08839324,0.59793792
14,10.34644,73.50174,0.0,0.99671838,0.05523989,0.53289794
15,13.576419999999999,70.99391,0.01147583,0.93301086,0.03308307,0.41477603
16,23.817818687,69.66778131299999,0.016432,0.80300009,0.00703969,0.3047513
17,42.81693131299999,69.35266,0.0,0.74038105,0.00129035,0.13904316
18,53.16337262599999,91.870611313,0.0,0.78634552,0.0,0.03747888
19,54.226898686999995,92.22511737399999,0.0,0.62046311,0.0,0.00284272
20,52.611909999999995,70.24549999999999,0.0,0.49893672,0.0,0.0
21,49.368797373999996,65.584351313,0.0,0.54812613,0.0,0.0
22,42.501808687,61.816042626,0.0,0.57243024,0.0,0.0
23,32.575528687,55.38234,0.0,0.61165367,0.0,0.0
24,32.864391313,53.87238868699999,0.0,0.58708355,0.0,0.0
25,23.660259999999997,50.497978687,0.0,0.57448639,0.0,0.0
26,10.307049999999998,48.27901,0.0,0.59195633,0.0,0.0
27,12.89366,49.815218687,0.0,0.5959217,0.0,0.0
28,19.02537,56.918547374,0.0,0.54734382,0.0,0.00090047
