name,mu,mu_star,sigma,mu_star_conf,run_id
capex_wind,519.6552581686112,519.6552581686112,,2.239446440636216e-13,2024-11-27 14:23:19.039031
capex_solar,491.2143799348406,491.2143799348406,,0.0,2024-11-27 14:23:19.039031
capex_battery,0.0,0.0,,0.0,2024-11-27 14:23:19.039031
capex_electrolyzer,314.77724475554965,314.77724475554965,,2.239446440636216e-13,2024-11-27 14:23:19.039031
capex_h2_storage,13.208038273797683,13.208038273797683,,0.0,2024-11-27 14:23:19.039031
opex_wind,90.02790178571558,90.02790178571558,,0.0,2024-11-27 14:23:19.039031
opex_solar,6.261920981232834,6.261920981232834,,0.0,2024-11-27 14:23:19.039031
opex_battery,0.0,0.0,,0.0,2024-11-27 14:23:19.039031
opex_electrolyzer,2.6305270047803333,2.6305270047803333,,0.0,2024-11-27 14:23:19.039031
opex_h2_storage,267.5283211744743,267.5283211744743,,2.239446440636216e-13,2024-11-27 14:23:19.039031
eff_battery_charge,0.0,0.0,,0.0,2024-11-27 14:23:19.039031
eff_battery_discharge,0.0,0.0,,0.0,2024-11-27 14:23:19.039031
eff_h2_storage,2.0463630789890885e-12,2.0463630789890885e-12,,0.0,2024-11-27 14:23:19.039031
eff_electrolyzer,-529.7717013077361,529.7717013077361,,2.239446440636216e-13,2024-11-27 14:23:19.039031
total_h2_demand,758.0502555250833,758.0502555250833,,2.239446440636216e-13,2024-11-27 14:23:19.039031
interest_rate,795.2119344976179,795.2119344976179,,6.718339321908649e-13,2024-11-27 14:23:19.039031
connection_fee,0.004513888889505324,0.004513888889505324,,0.0,2024-11-27 14:23:19.039031
usage_fee,24.098749999999654,24.098749999999654,,0.0,2024-11-27 14:23:19.039031
cf_wind,-0.3191401399869948,35.74369567854323,,1.3996540253976247e-14,2024-11-27 14:23:19.039031
cf_solar,-2.6498731367173685,89.03573739370236,,2.7993080507952494e-14,2024-11-27 14:23:19.039031
el_price,-6.588067112019476,122.97725275769629,,2.7993080507952494e-14,2024-11-27 14:23:19.039031
capex_wind,874.3471722437414,874.3471722437414,,4.478892881272432e-13,2024-11-27 15:20:33.690984
capex_solar,588.5083027169055,588.5083027169055,,0.0,2024-11-27 15:20:33.690984
capex_battery,0.0,0.0,,0.0,2024-11-27 15:20:33.690984
capex_electrolyzer,295.26035962836204,295.26035962836204,,0.0,2024-11-27 15:20:33.690984
capex_h2_storage,11.3376245222139,11.3376245222139,,0.0,2024-11-27 15:20:33.690984
opex_wind,94.35238615096728,94.35238615096728,,2.79930805079527e-14,2024-11-27 15:20:33.690984
opex_solar,17.26710334788868,17.26710334788868,,0.0,2024-11-27 15:20:33.690984
opex_battery,0.0,0.0,,0.0,2024-11-27 15:20:33.690984
opex_electrolyzer,2.1419619467726534,2.1419619467726534,,0.0,2024-11-27 15:20:33.690984
opex_h2_storage,178.44851097926937,178.44851097926937,,5.59861610159054e-14,2024-11-27 15:20:33.690984
eff_battery_charge,0.0,0.0,,0.0,2024-11-27 15:20:33.690984
eff_battery_discharge,0.0,0.0,,0.0,2024-11-27 15:20:33.690984
eff_h2_storage,0.0,0.0,,0.0,2024-11-27 15:20:33.690984
eff_electrolyzer,-394.95978125137674,394.95978125137674,,2.239446440636216e-13,2024-11-27 15:20:33.690984
total_h2_demand,710.0842534147719,710.0842534147719,,0.0,2024-11-27 15:20:33.690984
interest_rate,773.7767889949313,773.7767889949313,,0.0,2024-11-27 15:20:33.690984
connection_fee,0.006605691056847718,0.006605691056847718,,0.0,2024-11-27 15:20:33.690984
usage_fee,24.098749999999654,24.098749999999654,,0.0,2024-11-27 15:20:33.690984
cf_wind,-8.869372372776866,425.72987389329035,,1.1197232203180998e-13,2024-11-27 15:20:33.690984
cf_solar,-0.24221057114335412,20.345687976041553,,0.0,2024-11-27 15:20:33.690984
el_price,-0.37803300723919825,9.770699264028664,,0.0,2024-11-27 15:20:33.690984
capex_wind,1046.9461130901304,1046.9461130901304,166.71401298365606,32.87683062943826,2024-11-27 22:08:44.997876
capex_solar,247.47707823285248,247.47707823285248,168.14495291790803,33.49565891052502,2024-11-27 22:08:44.997876
capex_battery,3.2400748750660566e-14,6.650680006714537e-14,4.3540655616706786e-13,7.064948739465595e-14,2024-11-27 22:08:44.997876
capex_electrolyzer,324.0411069358305,324.0411069358305,34.03617385372104,6.34641457075719,2024-11-27 22:08:44.997876
capex_h2_storage,9.452760964793303,9.452760964793303,2.8706771392540387,0.5252949947542019,2024-11-27 22:08:44.997876
opex_wind,179.40559811533723,179.40559811533723,21.63808345978746,4.584546325999075,2024-11-27 22:08:44.997876
opex_solar,7.553690725102316,7.553690725102371,8.29697247050346,1.7776879870194373,2024-11-27 22:08:44.997876
opex_battery,-2.915078312071273e-10,2.916101493610768e-10,2.9155951007957765e-09,5.525415570616469e-10,2024-11-27 22:08:44.997876
opex_electrolyzer,2.403114824487385,2.403114824487385,0.3433629026244441,0.06934747274057361,2024-11-27 22:08:44.997876
opex_h2_storage,184.40820205833614,184.40820205833614,45.73558721039379,7.668210635871609,2024-11-27 22:08:44.997876
eff_battery_charge,1.6541434888495133e-13,2.1316282072803006e-13,1.070451052464512e-12,1.8692976023723896e-13,2024-11-27 22:08:44.997876
eff_battery_discharge,-6.765463922420168e-10,6.765873195035965e-10,6.764998847579835e-09,1.1844351881113065e-09,2024-11-27 22:08:44.997876
eff_h2_storage,-2.5579538487363607e-14,1.1084466677857563e-13,4.3112174171162637e-13,7.870123031665827e-14,2024-11-27 22:08:44.997876
